url,title
https://en.wikipedia.org/wiki/Album,Album
https://en.wikipedia.org/wiki/Bird_(1988_film),Bird (1988 film)
https://en.wikipedia.org/wiki/Kind_of_Blue,Kind of Blue
https://en.wikipedia.org/wiki/Miles_Davis_and_the_Modern_Jazz_Giants,Miles Davis and the Modern Jazz Giants
https://en.wikipedia.org/wiki/Someday_My_Prince_Will_Come_(Miles_Davis_album),Someday My Prince Will Come (Miles Davis album)
https://en.wikipedia.org/wiki/Miles_%26_Monk_at_Newport,Miles & Monk at Newport
https://en.wikipedia.org/wiki/Milestones_(Miles_Davis_album),Milestones (Miles Davis album)
https://en.wikipedia.org/wiki/1958_Miles,1958 Miles
https://en.wikipedia.org/wiki/Steamin%27_with_the_Miles_Davis_Quintet,Steamin' with the Miles Davis Quintet
https://en.wikipedia.org/wiki/%27Round_About_Midnight,'Round About Midnight
https://en.wikipedia.org/wiki/Cookin%27_with_the_Miles_Davis_Quintet,Cookin' with the Miles Davis Quintet
https://en.wikipedia.org/wiki/Workin%27_with_the_Miles_Davis_Quintet,Workin' with the Miles Davis Quintet
https://en.wikipedia.org/wiki/Miles:_The_New_Miles_Davis_Quintet,Miles: The New Miles Davis Quintet
https://en.wikipedia.org/wiki/Relaxin%27_with_the_Miles_Davis_Quintet,Relaxin' with the Miles Davis Quintet
https://en.wikipedia.org/wiki/At_Newport_1958,At Newport 1958
https://en.wikipedia.org/wiki/Basic_Miles:_The_Classic_Performances_of_Miles_Davis,Basic Miles: The Classic Performances of Miles Davis
https://en.wikipedia.org/wiki/Miles_Davis_Quintet_at_Peacock_Alley,Miles Davis Quintet at Peacock Alley
https://en.wikipedia.org/wiki/Jazz_Track,Jazz Track
https://en.wikipedia.org/wiki/Jazz_at_the_Plaza_Vol._I,Jazz at the Plaza Vol. I
https://en.wikipedia.org/wiki/The_Complete_Columbia_Recordings_of_Miles_Davis_with_John_Coltrane,The Complete Columbia Recordings of Miles Davis with John Coltrane
https://en.wikipedia.org/wiki/On_the_Corner,On the Corner
https://en.wikipedia.org/wiki/In_a_Silent_Way,In a Silent Way
https://en.wikipedia.org/wiki/Blue_Train_(album),Blue Train (album)
https://en.wikipedia.org/wiki/Filles_de_Kilimanjaro,Filles de Kilimanjaro
https://en.wikipedia.org/wiki/Bitches_Brew,Bitches Brew
https://en.wikipedia.org/wiki/Big_Fun_(Miles_Davis_album),Big Fun (Miles Davis album)
https://en.wikipedia.org/wiki/Water_Babies_(album),Water Babies (album)
https://en.wikipedia.org/wiki/Bags%27_Groove,Bags' Groove
https://en.wikipedia.org/wiki/Jack_Johnson_(album),Jack Johnson (album)
https://en.wikipedia.org/wiki/E.S.P._(Miles_Davis_album),E.S.P. (Miles Davis album)
https://en.wikipedia.org/wiki/Get_Up_with_It,Get Up with It
https://en.wikipedia.org/wiki/Miles_Smiles,Miles Smiles
https://en.wikipedia.org/wiki/Nefertiti_(Miles_Davis_album),Nefertiti (Miles Davis album)
https://en.wikipedia.org/wiki/Sorcerer_(Miles_Davis_album),Sorcerer (Miles Davis album)
https://en.wikipedia.org/wiki/Four_%26_More,Four & More
https://en.wikipedia.org/wiki/Miles_in_the_Sky,Miles in the Sky
https://en.wikipedia.org/wiki/Seven_Steps_to_Heaven,Seven Steps to Heaven
https://en.wikipedia.org/wiki/Live-Evil_(Miles_Davis_album),Live-Evil (Miles Davis album)
https://en.wikipedia.org/wiki/Walkin%27,Walkin'
https://en.wikipedia.org/wiki/Dig_(Miles_Davis_album),Dig (Miles Davis album)
https://en.wikipedia.org/wiki/Quintet/Sextet,Quintet/Sextet
https://en.wikipedia.org/wiki/Miles_in_Tokyo,Miles in Tokyo
https://en.wikipedia.org/wiki/Blue_Haze,Blue Haze
https://en.wikipedia.org/wiki/Circle_in_the_Round,Circle in the Round
https://en.wikipedia.org/wiki/Miles_Davis_Quartet_(album),Miles Davis Quartet (album)
https://en.wikipedia.org/wiki/Collectors%27_Items,Collectors' Items
https://en.wikipedia.org/wiki/Miles_Davis_Quintet_(album),Miles Davis Quintet (album)
https://en.wikipedia.org/wiki/Miles_Davis_at_Carnegie_Hall,Miles Davis at Carnegie Hall
https://en.wikipedia.org/wiki/Live_in_Europe_1969:_The_Bootleg_Series_Vol._2,Live in Europe 1969: The Bootleg Series Vol. 2
https://en.wikipedia.org/wiki/Miles_Davis_with_Sonny_Rollins,Miles Davis with Sonny Rollins
https://en.wikipedia.org/wiki/Miles_Davis_at_Fillmore,Miles Davis at Fillmore
https://en.wikipedia.org/wiki/Black_Beauty:_Miles_Davis_at_Fillmore_West,Black Beauty: Miles Davis at Fillmore West
https://en.wikipedia.org/wiki/Miles_at_the_Fillmore_%E2%80%93_Miles_Davis_1970:_The_Bootleg_Series_Vol._3,Miles at the Fillmore – Miles Davis 1970: The Bootleg Series Vol. 3
"https://en.wikipedia.org/wiki/In_Person_Friday_and_Saturday_Nights_at_the_Blackhawk,_Complete","In Person Friday and Saturday Nights at the Blackhawk, Complete"
https://en.wikipedia.org/wiki/Bitches_Brew_Live,Bitches Brew Live
https://en.wikipedia.org/wiki/Porgy_and_Bess_(Miles_Davis_album),Porgy and Bess (Miles Davis album)
https://en.wikipedia.org/wiki/Miles_%26_Quincy_Live_at_Montreux,Miles & Quincy Live at Montreux
https://en.wikipedia.org/wiki/Doo-Bop,Doo-Bop
https://en.wikipedia.org/wiki/Agharta_(album),Agharta (album)
https://en.wikipedia.org/wiki/Directions_(Miles_Davis_album),Directions (Miles Davis album)
https://en.wikipedia.org/wiki/Africa/Brass,Africa/Brass
https://en.wikipedia.org/wiki/Miles_Ahead_(album),Miles Ahead (album)
https://en.wikipedia.org/wiki/We_Want_Miles,We Want Miles
https://en.wikipedia.org/wiki/Quiet_Nights_(Miles_Davis_and_Gil_Evans_album),Quiet Nights (Miles Davis album)
"https://en.wikipedia.org/wiki/Miles_Davis_All_Stars,_Volume_2","Miles Davis All Stars, Vols. 1 & 2"
https://en.wikipedia.org/wiki/Sketches_of_Spain,Sketches of Spain
https://en.wikipedia.org/wiki/Aura_(Miles_Davis_album),Aura (Miles Davis album)
https://en.wikipedia.org/wiki/Dark_Magus,Dark Magus
